optaEvent.id,optaEvent.seqId,optaEvent.eventId,optaEvent.typeId,optaEvent.periodId,optaEvent.timeMin,optaEvent.timeSec,optaEvent.contestantId,optaEvent.opContestantId,optaEvent.opPlayerId,optaEvent.outcome,optaEvent.x,optaEvent.y,optaEvent.timeStamp,optaEvent.lastModified,optaEvent.qualifier,optaEvent.game_id,optaEvent.period,optaEvent.alignedFrameIdx,optaEvent.alignedClock,optaEvent.markingId,optaEvent.playerId,optaEvent.playerName,optaEvent.primaryKitColour,optaEvent.secondaryKitColour,2sMarking.id,2sMarking.startWallClock,2sMarking.endWallClock,2sMarking.gameId,2sMarking.possId,2sMarking.teamId,2sMarking.defTeamId,2sMarking.passId,2sMarking.startClock,2sMarking.endClock,2sMarking.duration,2sMarking.distance,2sMarking.runType,2sMarking.overlap,2sMarking.offside,2sMarking.targeted,2sMarking.passBeforeRun,2sMarking.overlapTeammateId,2sMarking.overlapDefenderId,2sMarking.runStartLoc,2sMarking.runEndLoc,2sMarking.runStartZone,2sMarking.runEndZone,2sMarking.zones,2sMarking.maxSpeed,2sMarking.avgSpeed,2sMarking.startGoalDist,2sMarking.finalGoalDist,2sMarking.period,2sMarking.passBeforeId,2sMarking.startFrameIdx,2sMarking.endFrameIdx,2sMarking.phaseId,2sMarking.playerId,2sMarking.direction,2sMarking.markedAtStart,2sMarking.markedAtEnd,2sMarking.startLocOffCategory,2sMarking.endLocOffCategory,2sMarking.startLocDefCategory,2sMarking.endLocDefCategory,2sMarking.underlap,2sMarking.markingType,2sMarking.optaId,2sMarking.wallClock,2sMarking.passerId,2sMarking.receptionId,2sMarking.touchId,2sMarking.stateId,2sMarking.frameIdx,2sMarking.targetId,2sMarking.receiverId,2sMarking.passLoc,2sMarking.targetLoc,2sMarking.endLoc,2sMarking.targetDistance,2sMarking.goalDistance,2sMarking.endGoalDistance,2sMarking.passZone,2sMarking.endZone,2sMarking.targetZone,2sMarking.blocked,2sMarking.completed,2sMarking.outcome,2sMarking.options,2sMarking.supportingOptions,2sMarking.optionsAtReception,2sMarking.bodyPart,2sMarking.deadBallType,2sMarking.timeToRestart,2sMarking.passerDefId,2sMarking.targetDefId,2sMarking.passerDefDist,2sMarking.targetDefDist,2sMarking.assistType,2sMarking.assist,2sMarking.vel,2sMarking.passerVel,2sMarking.defBehindPasser,2sMarking.defBehindReceiver,2sMarking.defBehindTarget,2sMarking.attAheadPasser,2sMarking.attAheadTarget,2sMarking.attAheadReceiver,2sMarking.receivedBetweenLines,2sMarking.gameClock,2sMarking.passProbability,2sMarking.deflected,2sMarking.air,2sMarking.longBall,2sMarking.crossSwing,2sMarking.passLocOffCategory,2sMarking.throughBall,2sMarking.oneTouch,2sMarking.defendersPassed,2sMarking.crossed,2sMarking.passLocDefCategory,2sMarking.offensive,2sMarking.defInBox,2sMarking.attInBox,2sMarking.breaksOffsideLine,2sMarking.presserId,2sMarking.attTeamId,2sMarking.pressedId,2sMarking.playerInPossPressed,2sMarking.startDist,2sMarking.endDist,2sMarking.startLoc,2sMarking.forwardDefending,2sMarking.shotId,2sMarking.tackleId,2sMarking.startZone,2sMarking.distToPossEnd,2sMarking.intensity,2sMarking.startDefBehindBall,2sMarking.endDefBehindBall,2sMarking.startAttAheadBall,2sMarking.endAttAheadBall,2sMarking.distTraveled,2sMarking.startOptions,2sMarking.endOptions,2sMarking.defenders,2sMarking.startDefenderDist,2sMarking.endDefenderDist,2sMarking.behindBackLine,2sMarking.headed,2sMarking.overcommit,2sMarking.xG,2sMarking.minGoalDist,2sMarking.directness,2sMarking.zonesTouched,2sMarking.dribble,2sMarking.dribbleSuccessful,2sMarking.overload,2sMarking.endDead,2sMarking.startDead,2sMarking.isTurnover,2sMarking.fromTurnover,2sMarking.firstPlayerId,2sMarking.lastPlayerId,2sMarking.playersInvolved,2sMarking.width,2sMarking.ballDistTraveled,2sMarking.numPasses,2sMarking.defensiveHeight,2sMarking.phasesSinceRestart,2sMarking.phaseType,2sMarking.prevPhaseType,2sMarking.nextPhaseType,2sMarking.events,2sMarking.nextStartFrameIdx,2sMarking.turnoverType,2sMarking.contested,2sMarking.startType,2sMarking.shotSetPiece,2sMarking.shotTechnique,2sMarking.shotOutcome,2sMarking.scoreDiff,2sMarking.attSide,2sMarking.defSide,2sMarking.verticalPassing,2sMarking.verticalCarrying,2sMarking.state,2sMarking.statesSinceRestart,2sMarking.isSetPlay,2sMarking.setPlayType,2sMarking.startSetPlay,2sMarking.pressingPlayers,2sMarking.pressedPlayers,2sMarking.pressures,2sMarking.totalDistance,2sMarking.avgVel,2sMarking.topSustainedSpeed,2sMarking.zonesInvolved,2sMarking.receptionZone,2sMarking.receptionLoc,2sMarking.receiverSpd,2sMarking.receiverDir,2sMarking.receptionVel,2sMarking.interceptorId,2sMarking.passerTeamId,2sMarking.interceptorTeamId,2sMarking.nextPossId,2sMarking.retained,2sMarking.deflectorId,2sMarking.nextPhaseId,2sMarking.attemptSuccessful,2sMarking.interceptionType,2sMarking.anticipationTime,2sMarking.reactionTime,2sMarking.routeEfficiency,2sMarking.timeVsModel,2sMarking.xgCreated,2sMarking.ledToShot,2sMarking.ledToGoal,2sMarking.tacklerId,2sMarking.tackledId,2sMarking.tacklerTeamId,2sMarking.tackledTeamId,2sMarking.tackleWon,2sMarking.zone,2sMarking.touchFromPass,2sMarking.timeToTackleTouch,2sMarking.initialDistTouch,2sMarking.timeToTackle,2sMarking.initialDist,2sMarking.tackleLoc,2sMarking.touchTacklerLoc,2sMarking.tackledSpeed,2sMarking.tackledPossessed,2sMarking.fromAerial,2sMarking.fromClear,2sMarking.winnerId,2sMarking.loserId,2sMarking.aerialLoc,2sMarking.possessionWon,2sMarking.defenderId,2sMarking.defPressure,2sMarking.recoveredBy,2sMarking.recoveredLive,2sMarking.primaryDefenderId,2sMarking.defenderIds,2sMarking.gkId,2sMarking.goalDist,2sMarking.angle,2sMarking.shotLoc,2sMarking.prevLoc,2sMarking.isScored,2sMarking.passType,2sMarking.numDefGoalside,2sMarking.isOnGoal,2sMarking.isDeflected,2sMarking.shotZone,2sMarking.shooterId,2sMarking.keeperInitialDist,2sMarking.keeperReactionDist,2sMarking.velocity,2sMarking.gkVel,2sMarking.gkLoc,2sMarking.concedingPlayerId,2sMarking.wonPlayerId,2sMarking.location,2sMarking.isPenalty,2sMarking.nextStateId,2sMarking.takerId,2sMarking.leftSide,2sMarking.attKeeperUp,2sMarking.crosserId,2sMarking.hasShot,2sMarking.scored,2sMarking.attInGkBox,2sMarking.attOnEdge,2sMarking.attLeftBack,2sMarking.shortOptionId,2sMarking.playedShort,2sMarking.keeperId,2sMarking.defInGkBox,2sMarking.defOnEdge,2sMarking.defLeftUp,2sMarking.defInWall,2sMarking.nearPostDefenderId,2sMarking.farPostDefenderId,2sMarking.nextContactPlayerId,2sMarking.nextContactOutcome,2sMarking.nextContactZone,2sMarking.nextContactLoc,2sMarking.secondContactId,2sMarking.isOffenseNextContact,2sMarking.cardType,clock_time,adjusted_alignedClock,video_time
2751201975.0,118.0,31.0,1.0,1.0,2.0,32.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,0.0,23.0,18.0,2024-11-24T13:05:03.454,2024-11-24T13:05:12,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,3784.0,151.36000061035156,a1645967-835a-5b4e-9a63-e9baebfc9364,5f3wfx327z9hef9k9l37c90wl,J. Grønning,,,a1645967-835a-5b4e-9a63-e9baebfc9364,,,2442638.0,c0991b39-2855-5a66-9931-34f43bf151fd,547.0,401.0,,,,5.08,51.74,,,,,,,,,,,,,,,,,1.0,,,3911.0,0cf7a31d-4cbe-5e2b-835d-cae26dd292d5,,forward,,,,forward,,behind,,pass,2751201975.0,1732453495600.0,165922.0,99c05fea-51b3-5394-815c-535c1c0fff64,83e3a21b-0896-5837-8964-4eed48ec3620,62b16eb0-6617-569b-b5d6-00beb5f359b5,3784.0,544773.0,439449.0,,,,41.63,84.72,40.98,5-r,15,12,False,False,interception,2.0,2.0,0.0,feet,,,427398.0,439449.0,1.93,3.71,,False,,,7.0,2.0,1.0,5.0,0.0,0.0,False,151.36,0.1127,False,True,True,,central,False,True,,False,central,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.36000061035156,,475.86000061035156
2751203045.0,149.0,38.0,1.0,1.0,3.0,34.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,1.0,31.3,37.1,2024-11-24T13:06:05.07,2024-11-24T13:06:10,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,5362.0,214.47999572753903,43001f9b-dc2f-5f02-bf55-93eb55d586fb,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,43001f9b-dc2f-5f02-bf55-93eb55d586fb,,,2442638.0,ef081970-fc9d-545f-a4ac-1a9a572d8515,547.0,401.0,,,,2.2,18.29,,,,,,,,,,,,,,,,,1.0,,,5417.0,1cf02735-e4f7-58a9-b10b-b895b4024e36,,square,,,,central,,in_front,,pass,2751203045.0,1732453558720.0,165922.0,59aac154-cbd4-5679-9964-963e7400a01b,b4d3e334-6189-50d1-93b9-a9dd3ded0fe2,053195da-782e-5db5-b7c1-0210b034f91c,5362.0,485427.0,485427.0,,,,18.29,75.43,80.48,5-r,5-c,5-c,False,True,reception,4.0,3.0,7.0,feet,,,447810.0,,2.17,15.32,,False,,,8.0,10.0,10.0,5.0,5.0,5.0,False,214.48,0.9436,False,False,False,,central,False,False,,False,central,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.47999572753903,,538.9799957275391
2751204417.0,208.0,59.0,1.0,1.0,5.0,5.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,0.0,85.2,84.7,2024-11-24T13:07:35.788,2024-11-24T13:07:37,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,7628.0,305.1199951171875,019aeb52-d244-5dba-b6e4-1d372fc3b731,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,019aeb52-d244-5dba-b6e4-1d372fc3b731,,,2442638.0,3dac47c4-fc28-5d7c-9259-cb7f91145ae2,547.0,401.0,,,,1.08,20.67,,,,,,,,,,,,,,,,,1.0,,,7655.0,11e408e4-7030-59b2-8f1c-682b3ee90363,,square,,,,forward,,central,,pass,2751204417.0,1732453649360.0,165922.0,50a6ae5d-0e06-532f-aed8-6acec46105c4,defec5df-41c3-5430-84c4-68c06d1c0761,4633f11e-9c4b-52ba-89e9-e58ccc490219,7628.0,164716.0,439449.0,,,,17.25,26.26,8.51,16,17-or,17-or,False,False,interception,2.0,2.0,0.0,feet,,,498049.0,427398.0,2.96,1.51,,False,,,8.0,3.0,2.0,2.0,0.0,1.0,True,305.12,0.208,False,True,False,outswing,forward,False,False,,True,central,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.1199951171875,,629.6199951171875
2751211171.0,1982.0,123.0,1.0,1.0,12.0,5.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,1.0,32.2,49.7,2024-11-24T13:14:36.488,2024-11-24T13:59:23,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,18070.0,722.7999877929686,02ffc0ab-a99f-5d55-91b6-c7f079c77cdc,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,02ffc0ab-a99f-5d55-91b6-c7f079c77cdc,,,2442638.0,da7b14ea-aace-5c1a-8fa7-a2c0c826c7bf,547.0,401.0,,,,2.16,29.99,,,,,,,,,,,,,,,,,1.0,,,18124.0,74c17a5a-0c74-5b9c-9c55-3f47e4fb5d73,,square,,,,central,,wide_left,,pass,2751211171.0,1732454067040.0,165922.0,3b53be09-1617-5343-96f6-00e31228d1a5,b3fcfb98-0339-5cbc-ba09-5564c08126bd,7e315261-92ba-56f0-a456-964479f6331d,18070.0,247714.0,247714.0,,,,29.99,74.2,77.44,5-c,6,6,False,True,reception,3.0,2.0,1.0,feet,,,630534.0,,2.22,19.9,,False,,,8.0,8.0,7.0,5.0,5.0,5.0,False,722.8,0.9728,False,False,False,,central,False,True,,False,central,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.7999877929686,,1047.2999877929688
2751213527.0,554.0,161.0,1.0,1.0,14.0,50.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,1.0,43.3,56.1,2024-11-24T13:17:20.614,2024-11-24T13:17:22,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,22228.0,889.1199951171875,568c3ec1-75b2-591e-84a5-2c00b31a0d0b,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,568c3ec1-75b2-591e-84a5-2c00b31a0d0b,,,2442638.0,20f1085e-77bd-5af9-8f9f-1c3cb61e4758,547.0,401.0,,,,1.52,10.4,,,,,,,,,,,,,,,,,1.0,,,22266.0,f4cb9f44-7b43-5302-a1bd-70c1adff0197,,backward,,,,central,,in_front,,pass,2751213527.0,1732454233360.0,165922.0,23cb185b-80df-587c-982c-e07e04ceab1c,96017116-00da-5f77-9d4f-aec52498f3af,1c2f2c12-69b8-567b-a453-ecbe466acbcd,22228.0,227701.0,227701.0,,,,10.4,57.47,64.17,8-c,8-c,8-c,False,True,reception,5.0,3.0,6.0,feet,,,429870.0,429870.0,2.23,10.13,,False,,,9.0,11.0,11.0,4.0,5.0,6.0,False,889.12,0.9813,False,False,False,,central,False,True,,False,in_front,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889.1199951171875,,1213.6199951171875
2751216699.0,739.0,202.0,1.0,1.0,19.0,8.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,1.0,65.5,80.3,2024-11-24T13:21:38.773,2024-11-24T13:21:41,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,28659.0,1146.3599853515625,402f338a-e71d-5429-af4f-989a4f44525e,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,402f338a-e71d-5429-af4f-989a4f44525e,,,2442638.0,4e97a886-4c9f-5a0f-bb23-f65e2b7bf531,547.0,401.0,,,,1.36,15.22,,,,,,,,,,,,,,,,,1.0,,,28693.0,6bc88968-a035-598f-a534-a6ae69f98571,,backward,,,,central,,in_front,,pass,2751216699.0,1732454490600.0,165922.0,253075c5-021d-5e81-bdbb-64acf6d90335,f58c8038-16a3-563d-955b-ae03b2b9c519,7e5d7f9e-4d41-5f6e-97d5-3901e9c8bcdb,28659.0,592867.0,592867.0,,,,15.22,46.74,47.28,10,11-c,11-c,False,True,reception,3.0,1.0,3.0,feet,,,429870.0,427398.0,3.42,5.31,,False,,,8.0,10.0,8.0,4.0,4.0,4.0,False,1146.36,0.9352,False,False,False,,central,False,False,,False,central,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.3599853515625,,1470.8599853515625
2751217493.0,782.0,219.0,1.0,1.0,20.0,11.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,1.0,33.2,60.2,2024-11-24T13:22:42.261,2024-11-24T13:22:44,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,30181.0,1207.239990234375,d093f7f5-3e21-50b9-9461-927f4e6ebb67,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,d093f7f5-3e21-50b9-9461-927f4e6ebb67,,,2442638.0,99d048dd-0b24-5e4e-bf81-8235b1ed0d4f,547.0,401.0,,,,2.88,46.87,,,,,,,,,,,,,,,,,1.0,,,30253.0,4d29206f-4c68-5e04-9c38-9c33c180b8a7,,diagonal,,,,forward,,wide_left,,pass,2751217493.0,1732454551480.0,165922.0,da01125c-821e-55ef-be50-661c1206363c,bc1c1cad-33be-5997-ab2b-6c8fdce2762e,bc219a96-6110-5104-9333-cb92e48de3fb,30181.0,247714.0,495068.0,,,,44.38,69.27,54.66,8-c,12,12,False,True,reception,6.0,2.0,0.0,feet,,,429870.0,,10.88,23.05,,False,,,9.0,5.0,4.0,5.0,2.0,3.0,False,1207.24,0.9236,False,True,True,,central,False,False,,False,central,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207.239990234375,,1531.739990234375
2751217717.0,798.0,224.0,1.0,1.0,20.0,26.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,1.0,65.8,1.7,2024-11-24T13:22:57.428,2024-11-24T13:22:59,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,30566.0,1222.6400146484375,6b055c0e-6637-50f2-92a6-8795082ba681,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,6b055c0e-6637-50f2-92a6-8795082ba681,,,2442638.0,2a27c4b5-1836-5259-88dc-f02d4e9c95a9,547.0,401.0,,,,4.08,20.67,,,,,,,,,,,,,,,,,1.0,,,30668.0,1ac40428-e7fc-5c62-9574-f6c7030cbcd4,,backward,,,,back_line,,in_front,,pass,2751217717.0,1732454566880.0,165922.0,232483ef-2f8b-584f-b070-66a3026d9391,3befdf92-fec8-5174-824f-4647738a1e98,b94849ad-635b-54dd-941a-a4d44b1fcb70,30566.0,227701.0,227701.0,,,,20.67,44.72,62.48,15,9,9,False,True,reception,0.0,0.0,2.0,feet,,,574190.0,429870.0,0.71,9.02,,False,,,9.0,11.0,11.0,5.0,9.0,8.0,False,1222.64,0.7469,False,False,False,,central,False,True,,False,central,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.6400146484375,,1547.1400146484375
2751221127.0,983.0,266.0,1.0,1.0,25.0,41.0,cftj6g399tknheudaxsdpfdgb,547.0,165922.0,1.0,55.2,34.8,2024-11-24T13:28:11.873,2024-11-24T13:28:14,,5fb9091b-ba4e-4920-a3d8-417bfabc09c1,1.0,38489.0,1539.56005859375,cb875c34-4020-5721-bb92-6341cd189489,5f3wfx327z9hef9k9l37c90wl,J. Grønning,#000033,,cb875c34-4020-5721-bb92-6341cd189489,,,2442638.0,45f59cb7-8fae-5de9-9e83-68f579184f7b,547.0,401.0,,,,0.8,13.83,,,,,,,,,,,,,,,,,1.0,,,38509.0,a0820097-b01d-560c-8a7b-e8e1698e275c,,forward,,,,forward,,between_lines,,pass,2751221127.0,1732454883800.0,165922.0,d2f933b2-2c3c-5593-ac3d-8e8ebaae430c,4c9c6366-263f-57bb-aeea-beefb6ffecbc,24ed4012-0f52-5a22-bfdc-32b839aeb8db,38489.0,544773.0,544773.0,,,,13.83,47.58,38.47,11-r,11-c,11-c,False,True,reception,1.0,0.0,2.0,feet,,,429870.0,439449.0,0.79,3.08,,False,,,7.0,3.0,2.0,2.0,0.0,1.0,True,1539.56,0.7173,False,False,False,,forward,False,False,,False,central,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.56005859375,,1864.06005859375
